"default_profile","default_profile_image","tweets_like_by_user","followers_count","geo_enabled","verified","account_age_days","account_type","has_description","has_lang","has_background_image_url"
"FALSE","FALSE",3107,1032,"TRUE","FALSE",4102,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",41497,707,"FALSE","FALSE",2051,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",22,205,"FALSE","FALSE",3948,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",13140,4625,"TRUE","FALSE",3103,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",6102,1147,"TRUE","FALSE",3212,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",54,1593317,"FALSE","TRUE",3348,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",351025,178326,"TRUE","TRUE",2865,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1928,111,"TRUE","FALSE",4153,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",205,429,"TRUE","FALSE",3217,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",374,37,"FALSE","FALSE",1731,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",15,1,"FALSE","FALSE",1155,"bot","FALSE","FALSE","FALSE"
"FALSE","FALSE",13688,3652,"TRUE","FALSE",4893,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",757,75,"FALSE","FALSE",3329,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",1210,13,"TRUE","FALSE",2830,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",4367,240,"TRUE","FALSE",2039,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",10,744733,"FALSE","FALSE",3167,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",7717,148171,"FALSE","TRUE",4160,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",792,18800,"TRUE","FALSE",2858,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",14443,48,"TRUE","FALSE",3299,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",2378,41,"TRUE","FALSE",3810,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",296,1155477,"TRUE","TRUE",4092,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",3465,194,"FALSE","FALSE",2318,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",159,1119498,"FALSE","TRUE",4538,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",15559,19985,"TRUE","FALSE",4487,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",21,8,"FALSE","FALSE",901,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",367,336,"FALSE","FALSE",864,"human","TRUE","TRUE","FALSE"
"TRUE","FALSE",16916,467,"FALSE","FALSE",1260,"human","TRUE","TRUE","FALSE"
"FALSE","FALSE",26640,11630,"FALSE","FALSE",3346,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",9875,2126,"TRUE","TRUE",4191,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2362,424,"TRUE","FALSE",3375,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",14909,52874,"TRUE","FALSE",3122,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1332,15,"FALSE","FALSE",1463,"bot","TRUE","TRUE","FALSE"
"FALSE","FALSE",16113,232638,"TRUE","TRUE",4073,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",9620,226230,"TRUE","TRUE",4359,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",13744,372,"TRUE","FALSE",2889,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",3589,109,"TRUE","FALSE",2760,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",3757,3800,"TRUE","TRUE",4121,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",20348,264,"FALSE","FALSE",3565,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",92466,185,"FALSE","FALSE",2382,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",117,4072365,"FALSE","TRUE",3989,"human","TRUE","TRUE","TRUE"
